City,Cu St ID,Order Date,Order ID,Ship Date,Ship Mode,State,Zip Code
Santa Barbara,BM-11140,2020-02-26,CA-2017-121706,2020-03-02,Standard Class,California,93101
Akron,AT-10435,2017-11-24,CA-2014-111360,2017-11-30,Standard Class,Ohio,44312
Monroe,SM-20320,2020-10-12,CA-2017-149146,2020-10-12,Same Day,North Carolina,28110
Manhattan,RH-19510,2017-11-16,CA-2014-149643,2017-11-20,Standard Class,Kansas,66502
Roswell,MO-17800,2020-09-17,CA-2017-157931,2020-09-22,Second Class,Georgia,30076
San Francisco,EP-13915,2020-12-13,CA-2017-122770,2020-12-18,Standard Class,California,94122
Chester,AA-10645,2017-06-22,CA-2014-154963,2017-06-27,Standard Class,Pennsylvania,19013
Moreno Valley,SA-20830,2017-02-22,CA-2014-133354,2017-02-24,First Class,California,92553
New York City,SG-20470,2018-06-29,CA-2015-165799,2018-07-02,First Class,New York,10024
Hackensack,TS-21205,2017-09-27,CA-2014-120887,2017-10-03,Standard Class,New Jersey,7601
Seattle,MZ-17335,2020-03-26,CA-2017-147144,2020-03-28,First Class,Washington,98105
Nashua,SS-20140,2019-12-25,CA-2016-101168,2020-01-01,Standard Class,New Hampshire,3060
Las Cruces,MA-17995,2018-11-28,CA-2015-157028,2018-12-03,Standard Class,New Mexico,88001
New York City,AA-10315,2017-09-15,CA-2014-138100,2017-09-20,Standard Class,New York,10011
Stockton,SP-20650,2019-12-09,CA-2016-149503,2019-12-12,First Class,California,95207
Lafayette,LL-16840,2020-02-17,US-2017-163195,2020-02-21,Second Class,Louisiana,70506
Seattle,CM-12715,2017-03-07,CA-2014-104563,2017-03-12,Standard Class,Washington,98103
Providence,GM-14500,2019-06-26,CA-2016-119445,2019-07-03,Standard Class,Rhode Island,2908
Seattle,NZ-18565,2019-07-01,US-2016-158680,2019-07-02,First Class,Washington,98115
Los Angeles,MV-17485,2017-01-20,CA-2014-148614,2017-01-25,Standard Class,California,90049
San Diego,SB-20290,2018-09-11,CA-2015-153794,2018-09-16,Standard Class,California,92024
Phoenix,EB-13870,2018-05-23,US-2015-110569,2018-05-30,Standard Class,Arizona,85023
Tempe,EP-13915,2019-10-18,US-2016-159856,2019-10-22,Standard Class,Arizona,85281
Washington,TB-21280,2019-05-26,CA-2016-157266,2019-06-01,Standard Class,District of Columbia,20016
Odessa,KB-16240,2020-12-26,CA-2017-136238,2021-01-01,Standard Class,Texas,79762
Torrance,RW-19630,2019-12-13,CA-2016-142958,2019-12-20,Standard Class,California,90503
New York City,DP-13105,2018-08-22,CA-2015-132080,2018-08-25,First Class,New York,10035
Knoxville,FH-14365,2017-10-20,CA-2014-169684,2017-10-23,First Class,Tennessee,37918
Fayetteville,SC-20095,2017-09-02,CA-2014-152268,2017-09-07,Standard Class,Arkansas,72701
Jackson,FM-14380,2019-02-14,CA-2016-146150,2019-02-19,Standard Class,Mississippi,39212
Mount Vernon,RS-19765,2020-05-19,US-2017-100048,2020-05-24,Standard Class,New York,10550
Chicago,MM-17920,2017-09-26,CA-2014-115049,2017-10-01,Standard Class,Illinois,60623
New York City,AZ-10750,2018-05-12,CA-2015-130876,2018-05-16,Second Class,New York,10024
Colorado Springs,CL-12700,2019-04-24,CA-2016-149279,2019-04-28,Standard Class,Colorado,80906
Murfreesboro,ML-17395,2018-09-25,CA-2015-120845,2018-10-02,Standard Class,Tennessee,37130
West Jordan,SC-20095,2018-11-08,CA-2015-123568,2018-11-14,Standard Class,Utah,84084
Louisville,JK-16090,2018-04-21,CA-2015-107678,2018-04-28,Standard Class,Kentucky,40214
Long Beach,JG-15160,2017-06-21,CA-2014-141796,2017-06-21,Same Day,New York,11561
Phoenix,JA-15970,2020-05-15,CA-2017-102414,2020-05-18,Second Class,Arizona,85023
Philadelphia,RD-19660,2019-09-22,CA-2016-151974,2019-09-29,Standard Class,Pennsylvania,19134
Orland Park,PA-19060,2018-10-15,CA-2015-129476,2018-10-20,Standard Class,Illinois,60462
Dallas,NC-18535,2019-11-29,US-2016-131674,2019-12-01,Second Class,Texas,75217
Allentown,CJ-12010,2019-07-22,CA-2016-122392,2019-07-27,Standard Class,Pennsylvania,18103
Burlington,YS-21880,2020-07-03,CA-2017-124828,2020-07-04,First Class,North Carolina,27217
New York City,CC-12685,2018-09-14,CA-2015-140984,2018-09-18,Standard Class,New York,10011
Chicago,EH-13765,2020-01-22,CA-2017-152499,2020-01-25,Second Class,Illinois,60623
Philadelphia,EH-14005,2020-12-01,CA-2017-144862,2020-12-05,Standard Class,Pennsylvania,19143
Los Angeles,RB-19795,2019-06-06,US-2016-155971,2019-06-12,Standard Class,California,90036
Stockton,ML-17755,2020-12-01,CA-2017-103968,2020-12-07,Standard Class,California,95207
Salem,GK-14620,2017-06-25,CA-2014-164469,2017-06-27,Second Class,Oregon,97301
Portland,RD-19900,2020-09-07,CA-2017-124401,2020-09-12,Standard Class,Oregon,97206
San Francisco,DS-13030,2017-07-09,CA-2014-113271,2017-07-14,Standard Class,California,94122
Philadelphia,JK-16120,2018-10-04,CA-2015-134859,2018-10-09,Standard Class,Pennsylvania,19134
Chicago,NS-18640,2020-07-09,CA-2017-115651,2020-07-12,First Class,Illinois,60610
Columbia,FC-14245,2019-10-17,CA-2016-147256,2019-10-21,Second Class,Missouri,65203
Louisville,AB-10165,2018-05-10,CA-2015-144043,2018-05-15,Standard Class,Colorado,80027
Murray,LP-17095,2020-03-03,CA-2017-121804,2020-03-08,Standard Class,Kentucky,42071
Baltimore,BF-11170,2017-04-13,CA-2014-167724,2017-04-18,Standard Class,Maryland,21215
Oakland,NP-18325,2017-05-13,CA-2014-114433,2017-05-17,Standard Class,California,94601
New York City,CD-11980,2020-11-06,CA-2017-144596,2020-11-10,Standard Class,New York,10011
Burlington,SC-20380,2020-11-30,CA-2017-142090,2020-12-07,Standard Class,North Carolina,27217
Los Angeles,JL-15835,2017-04-18,CA-2014-110849,2017-04-23,Standard Class,California,90049
New York City,SB-20185,2020-06-25,CA-2017-116127,2020-06-27,Second Class,New York,10024
Columbus,TC-21535,2020-12-26,CA-2017-112487,2020-12-30,Standard Class,Ohio,43229
Seattle,TP-21415,2020-09-17,CA-2017-137470,2020-09-17,Same Day,Washington,98115
New York City,JK-15640,2018-12-15,CA-2015-137225,2018-12-19,Standard Class,New York,10009
New York City,ED-13885,2018-11-02,CA-2015-160227,2018-11-04,First Class,New York,10011
Charlotte,MB-18085,2020-05-06,CA-2017-144498,2020-05-06,Same Day,North Carolina,28205
Los Angeles,TH-21235,2020-09-04,CA-2017-117261,2020-09-10,Standard Class,California,90032
Grand Rapids,KB-16600,2020-12-29,CA-2017-158673,2021-01-04,Standard Class,Michigan,49505
San Francisco,DK-12835,2017-03-26,CA-2014-141838,2017-03-31,Second Class,California,94122
Houston,SF-20965,2018-09-17,CA-2015-143077,2018-09-21,Standard Class,Texas,77041
Aurora,DS-13030,2020-09-28,US-2017-125717,2020-10-01,First Class,Colorado,80013
Louisville,BG-11695,2020-09-23,CA-2017-121412,2020-09-27,Standard Class,Colorado,80027
Los Angeles,CS-12400,2018-10-02,US-2015-119312,2018-10-07,Second Class,California,90045
Omaha,PG-18820,2017-07-21,CA-2014-109890,2017-07-27,Standard Class,Nebraska,68104
Hempstead,CK-12205,2017-06-16,CA-2014-113929,2017-06-21,Standard Class,New York,11550
Mesquite,HG-14965,2017-09-26,US-2014-152723,2017-09-26,Same Day,Texas,75150
Dallas,JP-15460,2020-11-23,CA-2017-156622,2020-11-26,First Class,Texas,75220
Longmont,AS-10225,2019-12-02,CA-2016-143154,2019-12-08,Standard Class,Colorado,80501
New York City,FG-14260,2020-11-26,CA-2017-155607,2020-11-30,Standard Class,New York,10009
Columbus,DL-13495,2019-01-17,CA-2016-106558,2019-01-21,Standard Class,Georgia,31907
Chicago,HE-14800,2019-01-30,CA-2016-114944,2019-02-04,Standard Class,Illinois,60623
Pasadena,LW-16825,2020-10-03,CA-2017-144820,2020-10-07,Second Class,Texas,77506
Providence,KM-16375,2017-12-31,CA-2014-133592,2018-01-07,Standard Class,Rhode Island,2908
Los Angeles,KH-16690,2020-06-15,CA-2017-118864,2020-06-19,Second Class,California,90032
Los Angeles,ZD-21925,2020-06-11,CA-2017-141481,2020-06-14,First Class,California,90036
Jacksonville,KN-16450,2017-12-16,CA-2014-112718,2017-12-21,Standard Class,Florida,32216
Lafayette,TC-20980,2019-10-02,CA-2016-118689,2019-10-09,Standard Class,Indiana,47905
Watertown,PW-19030,2020-11-14,CA-2017-137323,2020-11-18,Second Class,New York,13601
Seattle,KC-16675,2020-11-03,CA-2017-142636,2020-11-07,Standard Class,Washington,98105
Cleveland,RP-19390,2017-12-24,CA-2014-156314,2017-12-26,First Class,Ohio,44105
Chesapeake,KD-16495,2018-12-01,US-2015-148817,2018-12-07,Standard Class,Virginia,23320
Knoxville,LP-17095,2020-09-05,CA-2017-102736,2020-09-09,Standard Class,Tennessee,37918
New York City,RA-19915,2017-09-30,CA-2014-102008,2017-10-04,Standard Class,New York,10011
Dallas,MO-17950,2018-04-02,US-2015-122140,2018-04-07,Standard Class,Texas,75220
New York City,PO-19180,2018-08-11,US-2015-156797,2018-08-15,Standard Class,New York,10035
Seattle,VM-21685,2020-03-16,US-2017-101539,2020-03-18,Second Class,Washington,98105
Philadelphia,SF-20200,2018-09-26,CA-2015-120341,2018-09-29,Second Class,Pennsylvania,19143
Orem,EB-13870,2018-09-25,CA-2015-106320,2018-09-30,Standard Class,Utah,84057
San Francisco,RB-19795,2020-05-13,CA-2017-100748,2020-05-20,Standard Class,California,94110
Dallas,TP-21415,2019-08-28,CA-2016-145303,2019-08-31,First Class,Texas,75081
Philadelphia,PP-18955,2018-06-19,CA-2015-111864,2018-06-19,Same Day,Pennsylvania,19134
Columbus,TC-21475,2020-04-02,CA-2017-121419,2020-04-04,First Class,Georgia,31907
Franklin,SS-20515,2019-08-26,US-2016-163538,2019-08-30,Standard Class,Wisconsin,53132
Jacksonville,LT-17110,2019-11-19,CA-2016-157364,2019-11-21,First Class,North Carolina,28540
Seattle,AH-10585,2017-10-26,CA-2014-162278,2017-10-30,Second Class,Washington,98105
San Antonio,DM-13015,2020-10-23,US-2017-105389,2020-10-28,Second Class,Texas,78207
Avondale,KM-16720,2018-09-24,US-2015-106873,2018-09-29,Second Class,Arizona,85323
Yuma,DM-12955,2019-09-29,CA-2016-106621,2019-10-01,Second Class,Arizona,85364
Newport News,FH-14275,2017-10-21,CA-2014-100916,2017-10-26,Standard Class,Virginia,23602
Santa Ana,KH-16630,2020-09-11,CA-2017-166898,2020-09-13,Second Class,California,92704
San Francisco,VW-21775,2020-12-02,CA-2017-116715,2020-12-05,First Class,California,94122
San Diego,EJ-14155,2017-03-03,CA-2014-105648,2017-03-07,Standard Class,California,92037
Philadelphia,LR-17035,2018-09-07,CA-2015-102876,2018-09-14,Standard Class,Pennsylvania,19134
Redmond,AS-10045,2020-09-04,US-2017-147655,2020-09-05,First Class,Oregon,97756
Lafayette,BD-11725,2020-05-30,CA-2017-125472,2020-05-31,First Class,Louisiana,70506
Pensacola,PW-19240,2019-07-29,US-2016-131891,2019-07-31,First Class,Florida,32503
Los Angeles,BT-11530,2020-02-26,CA-2017-117212,2020-02-28,Second Class,California,90036
Los Angeles,KB-16240,2020-07-11,CA-2017-162015,2020-07-18,Standard Class,California,90049
Dallas,RA-19945,2020-10-30,CA-2017-152583,2020-10-30,Same Day,Texas,75217
Houston,AG-10525,2017-09-02,CA-2014-158281,2017-09-07,Standard Class,Texas,77095
Los Angeles,XP-21865,2020-10-09,US-2017-115595,2020-10-11,First Class,California,90032
Clarksville,KW-16570,2017-09-30,CA-2014-140886,2017-10-04,Standard Class,Tennessee,37042
Henderson,SB-20290,2017-05-09,CA-2014-158771,2017-05-09,Same Day,Kentucky,42420
Montebello,BM-11575,2019-11-20,CA-2016-142615,2019-11-24,Standard Class,California,90640
Los Angeles,TB-21625,2019-05-08,CA-2016-111696,2019-05-10,First Class,California,90004
Los Angeles,ES-14020,2020-09-15,US-2017-163300,2020-09-21,Standard Class,California,90049
Concord,TB-21520,2018-10-19,CA-2015-131128,2018-10-20,First Class,New Hampshire,3301
Saint Paul,ER-13855,2019-09-06,CA-2016-149223,2019-09-11,Standard Class,Minnesota,55106
New York City,KD-16495,2018-11-08,CA-2015-114811,2018-11-08,Same Day,New York,10024
Chicago,EG-13900,2020-03-31,CA-2017-114524,2020-04-05,Second Class,Illinois,60623
Little Rock,MF-18250,2020-12-23,US-2017-162670,2020-12-28,Second Class,Arkansas,72209
Knoxville,Dp-13240,2020-10-02,US-2017-162558,2020-10-05,First Class,Tennessee,37918
Austin,LA-16780,2020-07-29,CA-2017-130771,2020-08-03,Standard Class,Texas,78745
Columbus,BP-11290,2020-12-18,CA-2017-156664,2020-12-23,Standard Class,Ohio,43229
Newark,BT-11680,2020-11-20,US-2017-161193,2020-11-26,Standard Class,Ohio,43055
Springfield,PG-18895,2020-06-13,CA-2017-122056,2020-06-17,Standard Class,Virginia,22153
Westfield,PC-18745,2019-11-27,CA-2016-159639,2019-12-02,Standard Class,New Jersey,7090
Costa Mesa,SC-20095,2019-07-25,CA-2016-126158,2019-07-31,Standard Class,California,92627
Los Angeles,EB-14110,2018-04-13,CA-2015-106257,2018-04-17,Second Class,California,90045
Los Angeles,TS-21430,2019-08-26,US-2016-100405,2019-08-28,Second Class,California,90045
Revere,Dp-13240,2018-12-13,CA-2015-139962,2018-12-20,Standard Class,Massachusetts,2151
San Francisco,PK-19075,2019-08-16,CA-2016-150343,2019-08-20,Standard Class,California,94110
San Francisco,MM-18055,2020-05-08,US-2017-104451,2020-05-12,Second Class,California,94110
New York City,MP-17470,2018-12-03,CA-2015-147851,2018-12-08,Standard Class,New York,10009
Newark,SJ-20500,2019-11-20,CA-2016-121356,2019-11-24,Standard Class,Delaware,19711
New York City,DK-12835,2019-03-25,CA-2016-120082,2019-03-27,Second Class,New York,10024
Columbus,BM-11785,2018-10-03,US-2015-157014,2018-10-06,Second Class,Ohio,43229
Loveland,JM-15580,2020-12-30,CA-2017-156720,2021-01-03,Standard Class,Colorado,80538
San Francisco,KT-16465,2019-12-04,CA-2016-112060,2019-12-09,Standard Class,California,94109
Columbia,RW-19630,2017-12-31,CA-2014-111150,2018-01-04,Standard Class,Missouri,65203
New York City,MM-17920,2018-01-10,US-2015-157154,2018-01-15,Standard Class,New York,10011
Chattanooga,TT-21070,2020-11-29,CA-2017-108035,2020-12-03,Standard Class,Tennessee,37421
Rochester,LW-17215,2019-11-07,CA-2016-132997,2019-11-09,First Class,New York,14609
Omaha,SP-20650,2017-11-03,US-2014-124625,2017-11-07,Standard Class,Nebraska,68104
Memphis,LA-16780,2017-04-29,CA-2014-107811,2017-05-03,Standard Class,Tennessee,38109
Avondale,PB-19150,2017-11-30,CA-2014-146843,2017-12-06,Standard Class,Arizona,85323
Fresno,CV-12295,2020-03-25,US-2017-117534,2020-03-26,First Class,California,93727
Lewiston,PS-19045,2018-06-13,CA-2015-155054,2018-06-19,Standard Class,Maine,4240
Plainfield,TB-21355,2019-01-25,CA-2016-153346,2019-01-27,First Class,New Jersey,7060
Buffalo,JO-15145,2017-11-27,CA-2014-167486,2017-12-01,Standard Class,New York,14215
Riverside,RP-19270,2018-12-13,CA-2015-148250,2018-12-17,Standard Class,California,92503
Fort Worth,HP-14815,2018-11-22,US-2015-118983,2018-11-26,Standard Class,Texas,76106
Modesto,GH-14425,2020-11-10,CA-2017-141138,2020-11-16,Standard Class,California,95351
Dallas,CK-12205,2020-08-07,CA-2017-110821,2020-08-08,First Class,Texas,75081
San Diego,NP-18325,2020-12-05,CA-2017-126865,2020-12-07,Second Class,California,92024
Santa Ana,PJ-19015,2019-09-08,CA-2016-153101,2019-09-08,Same Day,California,92704
Arlington,SH-20395,2020-04-15,CA-2017-126774,2020-04-17,First Class,Virginia,22204
Beaumont,SC-20305,2017-12-16,CA-2014-113257,2017-12-18,Second Class,Texas,77705
Los Angeles,EH-13765,2019-09-24,CA-2016-100944,2019-09-28,Standard Class,California,90049
New York City,RF-19840,2018-12-29,CA-2015-130855,2019-01-05,Standard Class,New York,10035
Raleigh,KN-16705,2017-03-16,CA-2014-157609,2017-03-21,Second Class,North Carolina,27604
New York City,PG-18820,2019-09-01,CA-2016-151561,2019-09-07,Standard Class,New York,10011
Concord,LO-17170,2020-05-28,CA-2017-141572,2020-05-31,Second Class,New Hampshire,3301
Kenosha,RP-19855,2018-02-15,CA-2015-154326,2018-02-19,Standard Class,Wisconsin,53142
Troy,BC-11125,2019-04-04,CA-2016-123050,2019-04-08,Second Class,New York,12180
Long Beach,JW-15955,2020-08-07,CA-2017-117023,2020-08-12,Standard Class,New York,11561
Miami,BD-11605,2020-09-24,CA-2017-144694,2020-09-26,Second Class,Florida,33180
Columbus,AP-10915,2019-04-16,US-2016-164588,2019-04-23,Standard Class,Georgia,31907
Los Angeles,KT-16465,2017-09-26,US-2014-151925,2017-10-01,Second Class,California,90049
Monroe,LW-16990,2020-06-04,CA-2017-158407,2020-06-10,Standard Class,North Carolina,28110
New York City,RF-19345,2017-09-16,CA-2014-141152,2017-09-19,First Class,New York,10024
Meriden,TB-21055,2020-09-02,CA-2017-145037,2020-09-07,Second Class,Connecticut,6450
Laguna Niguel,EB-13750,2020-11-25,CA-2017-161459,2020-11-29,Second Class,California,92677
Lakewood,FC-14245,2020-10-21,CA-2017-117422,2020-10-25,Standard Class,Ohio,44107
Los Angeles,EP-13915,2020-12-18,CA-2017-102099,2020-12-19,First Class,California,90008
Seattle,MH-18025,2018-07-25,CA-2015-148635,2018-07-27,Second Class,Washington,98115
Long Beach,FA-14230,2017-09-19,CA-2014-156601,2017-09-24,Standard Class,California,90805
San Francisco,ME-18010,2017-07-21,CA-2014-116932,2017-07-25,Standard Class,California,94122
Oakland,PF-19165,2019-11-09,CA-2016-138233,2019-11-14,Standard Class,California,94601
Chattanooga,CS-12175,2020-04-06,CA-2017-161592,2020-04-10,Standard Class,Tennessee,37421
Hagerstown,TB-21625,2020-11-17,US-2017-116505,2020-11-21,Second Class,Maryland,21740
New York City,PO-19180,2018-11-16,CA-2015-164539,2018-11-22,Standard Class,New York,10011
Los Angeles,JP-16135,2019-12-30,US-2016-111528,2019-12-30,Same Day,California,90032
Chicago,BB-11545,2019-11-11,CA-2016-124506,2019-11-17,Standard Class,Illinois,60623
Madison,RP-19390,2017-12-01,CA-2014-120474,2017-12-03,First Class,Wisconsin,53711
Utica,MC-17590,2019-09-12,CA-2016-113082,2019-09-16,Standard Class,New York,13501
Philadelphia,EJ-13720,2018-08-13,CA-2015-169656,2018-08-16,First Class,Pennsylvania,19143
Chicago,RB-19570,2019-09-03,US-2016-104815,2019-09-07,Standard Class,Illinois,60610
Chicago,SN-20560,2020-09-10,CA-2017-152093,2020-09-15,Standard Class,Illinois,60653
Jacksonville,JG-15115,2018-12-03,CA-2015-123092,2018-12-07,Standard Class,North Carolina,28540
San Diego,RB-19435,2018-03-29,US-2015-103996,2018-03-31,Second Class,California,92105
Philadelphia,NB-18655,2018-02-10,CA-2015-101126,2018-02-14,Second Class,Pennsylvania,19143
Philadelphia,DP-13390,2019-05-24,CA-2016-138583,2019-05-28,Standard Class,Pennsylvania,19120
Charlotte,RB-19795,2019-12-24,US-2016-168620,2019-12-28,Second Class,North Carolina,28205
Johnson City,BH-11710,2020-01-14,CA-2017-127306,2020-01-18,Standard Class,Tennessee,37604
San Diego,HW-14935,2020-02-20,CA-2017-105809,2020-02-23,First Class,California,92105
Chattanooga,JL-15175,2019-06-16,CA-2016-140977,2019-06-19,Second Class,Tennessee,37421
Buffalo,EB-13750,2018-06-05,CA-2015-166947,2018-06-10,Standard Class,New York,14215
Seattle,AG-10495,2018-10-23,CA-2015-142692,2018-10-28,Standard Class,Washington,98105
Seattle,RS-19420,2020-01-08,CA-2017-115154,2020-01-11,First Class,Washington,98115
Long Beach,JG-15310,2020-12-28,CA-2017-101322,2020-12-31,First Class,California,90805
Loveland,PC-18745,2020-12-28,US-2017-162068,2020-12-31,Second Class,Colorado,80538
Seattle,SS-20140,2018-09-27,CA-2015-143616,2018-09-29,Second Class,Washington,98103
Fort Collins,HA-14905,2020-10-22,CA-2017-130141,2020-10-24,Second Class,Colorado,80525
Fairfield,SJ-20500,2019-12-01,CA-2016-157336,2019-12-05,Second Class,Connecticut,6824
San Francisco,FH-14275,2019-09-19,CA-2016-168557,2019-09-23,Standard Class,California,94122
San Francisco,PK-18910,2017-04-04,CA-2014-105172,2017-04-09,Standard Class,California,94109
San Antonio,KL-16555,2017-06-15,US-2014-141215,2017-06-21,Standard Class,Texas,78207
Indianapolis,HW-14935,2020-06-01,CA-2017-121559,2020-06-03,Second Class,Indiana,46203
Burlington,VM-21685,2019-04-06,US-2016-150140,2019-04-10,Standard Class,Vermont,05408
Minneapolis,DV-13465,2017-06-22,CA-2014-124646,2017-06-24,First Class,Minnesota,55407
Harlingen,JS-15880,2019-03-14,CA-2016-162082,2019-03-17,First Class,Texas,78550
Phoenix,RP-19390,2017-12-27,CA-2014-148383,2017-12-31,Standard Class,Arizona,85023
Los Angeles,JE-15715,2020-11-14,CA-2017-124261,2020-11-19,Standard Class,California,90049
Plano,GK-14620,2020-09-09,CA-2017-139444,2020-09-15,Standard Class,Texas,75023
Chicago,EB-13930,2020-07-22,US-2017-106551,2020-07-27,Standard Class,Illinois,60653
Cleveland,CL-12565,2019-05-08,CA-2016-106530,2019-05-08,Same Day,Ohio,44105
Philadelphia,CS-11950,2019-03-31,US-2016-151827,2019-04-02,Second Class,Pennsylvania,19134
New York City,AH-10690,2019-08-06,CA-2016-158869,2019-08-07,First Class,New York,10024
Jackson,MG-17650,2019-12-12,CA-2016-139395,2019-12-18,Standard Class,Michigan,49201
Dallas,SJ-20125,2019-03-08,CA-2016-130400,2019-03-12,Standard Class,Texas,75217
Philadelphia,BD-11770,2019-03-10,US-2016-122182,2019-03-14,Standard Class,Pennsylvania,19143
Fort Worth,DB-13555,2020-05-06,US-2017-133200,2020-05-11,Standard Class,Texas,76106
Roseville,DC-12850,2020-11-23,CA-2017-167017,2020-11-25,First Class,Michigan,48066
Huntsville,CM-12715,2017-10-10,CA-2014-103492,2017-10-15,Standard Class,Texas,77340
Philadelphia,MH-17455,2020-07-13,CA-2017-136364,2020-07-17,Second Class,Pennsylvania,19140
New York City,EN-13780,2018-05-30,CA-2015-103177,2018-06-01,First Class,New York,10009
Columbus,TP-21130,2019-09-19,CA-2016-142370,2019-09-23,Standard Class,Georgia,31907
Seattle,GG-14650,2020-11-17,CA-2017-118122,2020-11-24,Standard Class,Washington,98103
Detroit,BW-11110,2020-01-07,CA-2017-159366,2020-01-10,First Class,Michigan,48205
Thornton,TC-21295,2017-12-20,CA-2014-140816,2017-12-20,Same Day,Colorado,80229
Oakland,JW-15955,2020-10-14,CA-2017-168837,2020-10-17,First Class,California,94601
Detroit,MV-18190,2017-01-30,CA-2014-134103,2017-02-04,Standard Class,Michigan,48234
Los Angeles,PS-19045,2020-05-08,CA-2017-133865,2020-05-12,Standard Class,California,90032
Detroit,MP-17965,2019-12-15,CA-2016-142335,2019-12-19,Standard Class,Michigan,48205
Houston,TB-21355,2019-08-27,CA-2016-117919,2019-08-29,Second Class,Texas,77041
Olathe,BE-11455,2019-09-05,CA-2016-140774,2019-09-10,Standard Class,Kansas,66062
Springfield,DK-12985,2018-08-02,CA-2015-112767,2018-08-06,Standard Class,Oregon,97477
Jacksonville,CS-11860,2020-06-02,CA-2017-158883,2020-06-03,Same Day,North Carolina,28540
Chicago,PT-19090,2020-07-21,CA-2017-145093,2020-07-26,Standard Class,Illinois,60623
Detroit,DK-12835,2020-12-09,CA-2017-139199,2020-12-13,Standard Class,Michigan,48234
Bristol,CG-12040,2019-09-10,CA-2016-164350,2019-09-12,Second Class,Tennessee,37620
San Antonio,JF-15565,2019-10-21,CA-2016-166373,2019-10-25,Standard Class,Texas,78207
Jacksonville,RA-19885,2018-08-09,CA-2015-155453,2018-08-14,Standard Class,Florida,32216
Atlanta,AH-10075,2020-11-26,CA-2017-165029,2020-11-30,Standard Class,Georgia,30318
Baltimore,LA-16780,2019-11-24,CA-2016-123806,2019-11-27,Second Class,Maryland,21215
Cleveland,BE-11455,2020-04-20,US-2017-166324,2020-04-21,First Class,Ohio,44105
Seattle,JD-16015,2017-10-04,CA-2014-102085,2017-10-09,Standard Class,Washington,98115
Keller,DL-12865,2020-01-19,CA-2017-154718,2020-01-23,Second Class,Texas,76248
Philadelphia,SM-20950,2017-09-29,CA-2014-122931,2017-10-03,Standard Class,Pennsylvania,19134
Columbus,RA-19885,2017-11-22,CA-2014-129091,2017-11-27,Standard Class,Georgia,31907
Chesapeake,RF-19840,2019-04-18,CA-2016-139381,2019-04-22,Standard Class,Virginia,23320
San Francisco,SC-20260,2017-11-15,CA-2014-128622,2017-11-17,Second Class,California,94110
Apple Valley,CT-11995,2020-06-04,CA-2017-158106,2020-06-10,Standard Class,Minnesota,55124
Clovis,TS-21505,2020-09-18,CA-2017-166856,2020-09-22,Standard Class,New Mexico,88101
Philadelphia,BF-10975,2020-09-30,US-2017-120908,2020-10-02,First Class,Pennsylvania,19120
San Diego,TC-21295,2020-12-03,CA-2017-136875,2020-12-03,Same Day,California,92024
Philadelphia,AS-10240,2018-07-26,CA-2015-143700,2018-07-26,Same Day,Pennsylvania,19140
San Diego,MP-18175,2020-12-14,CA-2017-169859,2020-12-18,Standard Class,California,92024
Chicago,JH-15910,2020-11-19,US-2017-152380,2020-11-23,Standard Class,Illinois,60623
Tampa,SP-20620,2020-08-27,US-2017-162208,2020-08-30,First Class,Florida,33614
Pasadena,CM-11815,2017-11-14,CA-2014-151554,2017-11-15,First Class,Texas,77506
Lafayette,SV-20365,2020-08-06,CA-2017-161200,2020-08-10,Second Class,Louisiana,70506
New York City,MM-18055,2020-07-15,CA-2017-164378,2020-07-18,Second Class,New York,10024
Mcallen,MP-17965,2018-04-18,US-2015-163433,2018-04-22,Second Class,Texas,78501
Reno,JL-15175,2017-12-31,US-2014-133949,2017-12-31,Same Day,Nevada,89502
Roseville,MB-18085,2020-11-16,CA-2017-122945,2020-11-22,Standard Class,California,95661
New York City,HM-14860,2019-05-12,CA-2016-100510,2019-05-17,Standard Class,New York,10024
Philadelphia,JK-15640,2018-04-29,CA-2015-157434,2018-05-04,Second Class,Pennsylvania,19120
Rochester,TP-21130,2020-12-04,US-2017-107384,2020-12-08,Standard Class,Minnesota,55901
Los Angeles,JG-15310,2019-05-30,CA-2016-129728,2019-06-06,Standard Class,California,90032
Pasadena,CS-11950,2020-05-07,CA-2017-102820,2020-05-11,Standard Class,California,91104
Plano,LC-16885,2020-12-14,US-2017-113992,2020-12-19,Standard Class,Texas,75023
Springfield,MP-18175,2017-03-28,US-2014-117380,2017-04-03,Standard Class,Ohio,45503
Seattle,RP-19390,2017-09-13,CA-2014-142769,2017-09-13,Same Day,Washington,98103
Houston,MS-17980,2018-08-06,CA-2015-160794,2018-08-08,First Class,Texas,77041
Miami,LF-17185,2017-12-24,CA-2014-113166,2017-12-26,First Class,Florida,33180
Columbus,VB-21745,2020-03-08,CA-2017-155698,2020-03-11,First Class,Georgia,31907
Redondo Beach,JH-15985,2019-09-05,CA-2016-151372,2019-09-06,First Class,California,90278
Rochester,BM-11785,2017-06-06,CA-2014-133270,2017-06-09,First Class,New York,14609
Port Arthur,CA-11965,2018-11-21,CA-2015-105690,2018-11-26,Second Class,Texas,77642
Bellingham,SF-20200,2020-11-01,CA-2017-123967,2020-11-03,Second Class,Washington,98226
La Crosse,EB-13930,2019-02-27,CA-2016-101448,2019-03-01,Second Class,Wisconsin,54601
New York City,MM-18280,2020-10-06,CA-2017-109099,2020-10-11,Standard Class,New York,10009
